,trip_date,city,trip_count
406,2017-07-16,boston,5245
407,2017-07-16,sf,955
408,2017-07-16,nyc,57892
409,2017-07-17,nyc,63812
410,2017-07-17,boston,6527
411,2017-07-17,sf,1735
412,2017-07-18,nyc,67529
413,2017-07-18,boston,6237
414,2017-07-18,sf,1877
415,2017-07-19,boston,6495
416,2017-07-19,nyc,65175
417,2017-07-19,sf,1995
418,2017-07-20,boston,6481
419,2017-07-20,sf,1938
420,2017-07-20,nyc,60897
421,2017-07-21,sf,1975
422,2017-07-21,boston,6637
423,2017-07-21,nyc,61301
424,2017-07-22,boston,5406
425,2017-07-22,sf,1449
426,2017-07-22,nyc,48873
427,2017-07-23,sf,1190
428,2017-07-23,nyc,47779
429,2017-07-23,boston,5489
430,2017-07-24,sf,2131
431,2017-07-24,nyc,44702
432,2017-07-24,boston,1859
433,2017-07-25,boston,5870
434,2017-07-25,nyc,66620
435,2017-07-25,sf,2066
436,2017-07-26,boston,7409
437,2017-07-26,nyc,71672
438,2017-07-26,sf,2249
439,2017-07-27,boston,5310
440,2017-07-27,nyc,67066
441,2017-07-27,sf,2112
442,2017-07-28,nyc,65089
443,2017-07-28,sf,2082
444,2017-07-28,boston,7097
445,2017-07-29,boston,5485
446,2017-07-29,sf,1333
447,2017-07-29,nyc,53897
448,2017-07-30,nyc,60402
449,2017-07-30,sf,1278
450,2017-07-30,boston,5707
451,2017-07-31,nyc,65523
452,2017-07-31,boston,6939
453,2017-07-31,sf,2140
454,2017-08-01,sf,2352
455,2017-08-01,boston,7398
456,2017-08-01,nyc,67997
457,2017-08-02,nyc,57363
458,2017-08-02,sf,2541
459,2017-08-02,boston,5010
460,2017-08-03,sf,2582
461,2017-08-03,boston,7139
462,2017-08-03,nyc,67453
463,2017-08-04,boston,6803
464,2017-08-04,nyc,57587
465,2017-08-04,sf,2463
466,2017-08-05,boston,4087
467,2017-08-05,nyc,59884
468,2017-08-05,sf,1918
469,2017-08-06,nyc,57510
470,2017-08-06,boston,5668
471,2017-08-06,sf,1494
472,2017-08-07,boston,6304
473,2017-08-07,nyc,23937
474,2017-08-07,sf,2755
475,2017-08-08,nyc,66481
476,2017-08-08,boston,6719
477,2017-08-08,sf,2596
478,2017-08-09,sf,2677
479,2017-08-09,boston,7157
480,2017-08-09,nyc,69194
481,2017-08-10,nyc,67617
482,2017-08-10,boston,7094
483,2017-08-10,sf,2719
484,2017-08-11,boston,6920
485,2017-08-11,sf,2771
486,2017-08-11,nyc,64423
487,2017-08-12,nyc,61572
488,2017-08-12,sf,1945
489,2017-08-12,boston,4966
490,2017-08-13,sf,1837
491,2017-08-13,nyc,58525
492,2017-08-13,boston,5530
493,2017-08-14,boston,6744
494,2017-08-14,nyc,62708
495,2017-08-14,sf,2711
496,2017-08-15,boston,6998
497,2017-08-15,sf,2849
498,2017-08-15,nyc,53572
499,2017-08-16,boston,6824
500,2017-08-16,nyc,69833
501,2017-08-16,sf,3030
502,2017-08-17,sf,3312
503,2017-08-17,boston,6784
504,2017-08-17,nyc,68065
505,2017-08-18,boston,5324
506,2017-08-18,sf,3082
507,2017-08-18,nyc,37375
508,2017-08-19,sf,1931
509,2017-08-19,nyc,63438
510,2017-08-19,boston,5317
511,2017-08-20,nyc,56536
512,2017-08-20,sf,1973
513,2017-08-20,boston,4861
514,2017-08-21,nyc,62291
515,2017-08-21,boston,6188
516,2017-08-21,sf,2902
517,2017-08-22,nyc,61767
518,2017-08-22,boston,5978
519,2017-08-22,sf,3259
520,2017-08-23,boston,6220
521,2017-08-23,nyc,66396
522,2017-08-23,sf,3372
523,2017-08-24,boston,6594
524,2017-08-24,sf,3138
525,2017-08-24,nyc,67609
526,2017-08-25,boston,6427
527,2017-08-25,nyc,65491
528,2017-08-25,sf,3189
529,2017-08-26,nyc,51025
530,2017-08-26,boston,5296
531,2017-08-26,sf,2114
532,2017-08-27,sf,1978
533,2017-08-27,boston,4994
534,2017-08-27,nyc,55578
535,2017-08-28,sf,3320
536,2017-08-28,boston,6284
537,2017-08-28,nyc,62062
538,2017-08-29,nyc,35914
539,2017-08-29,sf,3306
540,2017-08-29,boston,6303
541,2017-08-30,sf,3481
542,2017-08-30,nyc,66621
543,2017-08-30,boston,6147
544,2017-08-31,boston,6573
545,2017-08-31,sf,3695
546,2017-08-31,nyc,66146
547,2017-09-01,boston,5796
548,2017-09-01,nyc,55991
549,2017-09-01,sf,3213
550,2017-09-02,boston,4482
551,2017-09-02,sf,1917
552,2017-09-02,nyc,38457
553,2017-09-03,nyc,31518
554,2017-09-03,sf,1993
555,2017-09-03,boston,1174
556,2017-09-04,sf,1909
557,2017-09-04,boston,5190
558,2017-09-04,nyc,56187
559,2017-09-05,sf,3723
560,2017-09-05,boston,6423
561,2017-09-05,nyc,66625
562,2017-09-06,sf,3893
563,2017-09-06,boston,5161
564,2017-09-06,nyc,43177
565,2017-09-07,nyc,70797
566,2017-09-07,sf,3923
567,2017-09-07,boston,6579
568,2017-09-08,nyc,70874
569,2017-09-08,sf,3761
570,2017-09-08,boston,6696
571,2017-09-09,nyc,61108
